Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,6 128,1.6,150,2024,2 457 000,2 457 000,чёрный,робот,полный,Бензин,Москва
Geely Coolray I,Geely,Coolray I,26 500,1.5,150,2021,1 850 000,1 850 000,серебристый,робот,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,196 245,2.0,139,2020,Not available,Not available,белый,автомат,передний,Бензин,Москва
Haval H5 I,Haval,H5 I,126 077,2.0,150,2021,Not available,Not available,серый,механика,полный,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,белый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 680 700 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,2 416 251,2 416 251,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 670 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 799 000,3 799 000,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,1 953 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 603 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 666 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 317 000 ,Not available,Ultra Black,робот,передний,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 365 000 ,Not available,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 156 625,3 156 625,Ultra,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 459 250,3 459 250,Ultra AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 399 000 ,Not available,Premium,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 465 789 ,Not available,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 535 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 084 430 ,Not available,Prime,робот,передний,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,2 149 000 ,Not available,Premium,робот,передний,Бензин,Обнинск
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,6 128,1.6,150,2024,2 457 000,2 457 000,чёрный,робот,полный,Бензин,Москва
Geely Coolray I,Geely,Coolray I,26 500,1.5,150,2021,1 850 000,1 850 000,серебристый,робот,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,196 245,2.0,139,2020,Not available,Not available,белый,автомат,передний,Бензин,Москва
Haval H5 I,Haval,H5 I,126 077,2.0,150,2021,Not available,Not available,серый,механика,полный,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,белый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,серебристый,автомат,полный,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 399 000 ,Not available,Premium,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 922 253 ,Not available,Ultra,робот,передний,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 799 000,3 799 000,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2025,3 450 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Обнинск
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Geely Emgrand II,Geely,Emgrand II,1 267,1.5,122,2023,1 790 000,1 790 000,синий,автомат,передний,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,10,1.5,147,2024,2 400 000,2 400 000,серебристый,робот,передний,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,6 128,1.6,150,2024,2 457 000,2 457 000,чёрный,робот,полный,Бензин,Москва
Haval H9 I Рестайлинг,Haval,H9 I Рестайлинг,119 838,2.0,190,2019,Not available,Not available,зелёный,автомат,полный,Дизель,Москва
Geely Coolray I,Geely,Coolray I,40 000,1.5,150,2022,Not available,Not available,белый,робот,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,196 245,2.0,139,2020,Not available,Not available,белый,автомат,передний,Бензин,Москва
Haval H5 I,Haval,H5 I,126 077,2.0,150,2021,Not available,Not available,серый,механика,полный,Бензин,Москва
Haval Jolion I,Haval,Jolion I,18 693,1.5,143,2023,1 688 000,1 688 000,чёрный,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Haval Jolion I,Haval,Jolion I,10 000,1.5,143,2023,Not available,Not available,чёрный,робот,передний,Бензин,Ржавки
Geely Preface I (China Market) Рестайлинг,Geely,Preface I (China Market) Рестайлинг,21 000,2.0,190,2023,3 500 000,3 500 000,зелёный,робот,передний,Бензин,Москва
Chery Tiggo 8 I,Chery,Tiggo 8 I,62 118,1.5,147,2021,Not available,Not available,серый,робот,передний,Бензин,Москва
Chery Very (A13),Chery,Very (A13),136 000,1.5,109,2011,319 000,319 000,чёрный,механика,передний,Бензин,Вербилки
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Geely Atlas II,Geely,Atlas II,18 378,2.0,200,2024,2 970 000,2 970 000,чёрный,автомат,полный,Бензин,Исаково
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,15,1.5,172,2024,2 490 000,2 490 000,белый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2025,3 400 000,3 400 000,серый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,голубой,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,чёрный,автомат,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,серебристый,автомат,полный,Бензин,Москва
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Icon,Geely,Icon,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,белый,робот,передний,Бензин,Москва
Geely Coolray (Binyue Cool) I Рестайлинг,Geely,Coolray (Binyue Cool) I Рестайлинг,3 000,1.5,174,2022,1 600 000,1 600 000,фиолетовый,робот,передний,Бензин,Московский
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,10,1.5,147,2024,2 400 000,2 400 000,серебристый,робот,передний,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 799 000,3 799 000,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,1 953 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 603 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 666 000 ,Not available,Active,робот,передний,Бензин,Балашиха
Chery Arrizo 8,Chery,Arrizo 8,Новый,1.6,150,2024,2 317 000 ,Not available,Ultra Black,робот,передний,Бензин,Балашиха
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 365 000 ,Not available,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 156 625,3 156 625,Ultra,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 459 250,3 459 250,Ultra AWD,робот,полный,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 399 000 ,Not available,Premium,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 4 Pro I Рестайлинг,Chery,Tiggo 4 Pro I Рестайлинг,Новый,1.5,113,2025,1 465 789 ,Not available,Action,механика,передний,Бензин,Балашиха
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 535 000 ,Not available,Ultra,автомат,полный,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 084 430 ,Not available,Prime,робот,передний,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,143,2025,2 149 000 ,Not available,Premium,робот,передний,Бензин,Обнинск
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 319 829 ,Not available,Ultra,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,3 045 000,3 045 000,Ultra,робот,передний,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,2 450 000 ,Not available,Tech+,робот,полный,Бензин,Химки
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг,Chery,Tiggo 4 I Рестайлинг,81 758,1.5,113,2022,1 046 000,1 046 000,серый,вариатор,передний,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,2 319 829 ,Not available,Ultra,робот,передний,Бензин,Балашиха
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,6 128,1.6,150,2024,2 457 000,2 457 000,чёрный,робот,полный,Бензин,Москва
Geely Coolray I,Geely,Coolray I,26 500,1.5,150,2021,1 850 000,1 850 000,серебристый,робот,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,196 245,2.0,139,2020,Not available,Not available,белый,автомат,передний,Бензин,Москва
Haval H5 I,Haval,H5 I,126 077,2.0,150,2021,Not available,Not available,серый,механика,полный,Бензин,Москва
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Chery Tiggo 4 Pro I,Chery,Tiggo 4 Pro I,16 000,1.5,147,2022,1 840 000,1 840 000,серебристый,робот,передний,Бензин,Королёв
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,белый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,серебристый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,голубой,робот,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,58 000,1.5,177,2022,2 100 000,2 100 000,синий,робот,полный,Бензин,Одинцово
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 399 000 ,Not available,Premium,робот,полный,Бензин,Тула (170 км от Москвы)
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 799 000,3 799 000,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2025,3 450 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Обнинск
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Haval Jolion I,Haval,Jolion I,18 693,1.5,143,2023,1 688 000,1 688 000,чёрный,робот,передний,Бензин,Москва
Geely Emgrand II,Geely,Emgrand II,1 267,1.5,122,2023,1 790 000,1 790 000,синий,автомат,передний,Бензин,Москва
Chery Tiggo 7 I,Chery,Tiggo 7 I,72 000,1.5,152,2020,649 000,649 000,серебристый,механика,передний,Бензин,Москва
Geely Atlas Pro,Geely,Atlas Pro,10 000,1.5,177,2022,1 386 000,1 386 000,жёлтый,автомат,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,36,2.0,238,2025,4 050 000,4 050 000,зелёный,автомат,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,6 128,1.6,150,2024,2 457 000,2 457 000,чёрный,робот,полный,Бензин,Москва
Haval H9 I Рестайлинг,Haval,H9 I Рестайлинг,119 838,2.0,190,2019,Not available,Not available,зелёный,автомат,полный,Дизель,Москва
Geely Coolray I,Geely,Coolray I,40 000,1.5,150,2022,Not available,Not available,белый,робот,передний,Бензин,Москва
Geely Emgrand X7 I Рестайлинг 2,Geely,Emgrand X7 I Рестайлинг 2,196 245,2.0,139,2020,Not available,Not available,белый,автомат,передний,Бензин,Москва
Haval H5 I,Haval,H5 I,126 077,2.0,150,2021,Not available,Not available,серый,механика,полный,Бензин,Москва
Haval Jolion I,Haval,Jolion I,18 693,1.5,143,2023,1 688 000,1 688 000,чёрный,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,5 000,2.0,190,2023,Not available,Not available,синий,робот,полный,Бензин,Москва
Haval Jolion I,Haval,Jolion I,10 000,1.5,143,2023,Not available,Not available,чёрный,робот,передний,Бензин,Ржавки
Geely Preface I (China Market) Рестайлинг,Geely,Preface I (China Market) Рестайлинг,21 000,2.0,190,2023,3 500 000,3 500 000,зелёный,робот,передний,Бензин,Москва
Chery Tiggo 8 I,Chery,Tiggo 8 I,62 118,1.5,147,2021,Not available,Not available,серый,робот,передний,Бензин,Москва
Haval F7 I Рестайлинг,Haval,F7 I Рестайлинг,41 500,2.0,190,2023,3 094 415,3 094 415,чёрный,робот,полный,Бензин,Москва
Chery Very (A13),Chery,Very (A13),136 000,1.5,109,2011,319 000,319 000,чёрный,механика,передний,Бензин,Вербилки
Chery Tiggo 8 Pro Max I,Chery,Tiggo 8 Pro Max I,118 706,2.0,197,2023,1 550 000,1 550 000,белый,робот,полный,Бензин,Тимохово
Haval M6 II,Haval,M6 II,10 487,1.5,143,2024,Not available,Not available,чёрный,робот,передний,Бензин,Северо-Западный административный округ
Geely Atlas II,Geely,Atlas II,18 378,2.0,200,2024,2 970 000,2 970 000,чёрный,автомат,полный,Бензин,Исаково
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,15,1.5,172,2024,2 490 000,2 490 000,белый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2025,3 400 000,3 400 000,серый,автомат,полный,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,голубой,робот,передний,Бензин,Москва
Geely Jiaji L I Рестайлинг,Geely,Jiaji L I Рестайлинг,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,5,2.0,238,2024,3 590 000,3 590 000,серебристый,автомат,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,чёрный,автомат,полный,Бензин,Москва
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 830 000,3 830 000,серебристый,автомат,полный,Бензин,Москва
Geely Boyue Cool,Geely,Boyue Cool,5 000,1.5,174,2024,1 750 000,1 750 000,белый,робот,передний,Бензин,Москва
Geely Icon,Geely,Icon,10,1.5,181,2024,2 699 999,2 699 999,серый,робот,передний,Бензин,Москва
Geely Icon,Geely,Icon,1,1.5,181,2024,2 699 999,2 699 999,белый,робот,передний,Бензин,Москва
Geely Coolray (Binyue Cool) I Рестайлинг,Geely,Coolray (Binyue Cool) I Рестайлинг,3 000,1.5,174,2022,1 600 000,1 600 000,фиолетовый,робот,передний,Бензин,Московский
Geely Monjaro (Xingyue L) I Рестайлинг,Geely,Monjaro (Xingyue L) I Рестайлинг,10,2.0,238,2025,3 750 000,3 750 000,зелёный,автомат,полный,Бензин,Москва
Geely Coolray I Рестайлинг,Geely,Coolray I Рестайлинг,10,1.5,147,2024,2 400 000,2 400 000,серебристый,робот,передний,Бензин,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2024,1 922 253 ,Not available,Ultra,робот,передний,Бензин,Балашиха
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 549 000 ,Not available,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 799 000,3 799 000,Tech Plus,робот,полный,Бензин,Тула (170 км от Москвы)
Chery Tiggo 8 Pro Max I Рестайлинг,Chery,Tiggo 8 Pro Max I Рестайлинг,Новый,2.0,197,2025,3 450 000 ,Not available,Dreamline 4WD,робот,полный,Бензин,Обнинск
Geely Cityray,Geely,Cityray,42,1.5,147,2024,2 245 000,2 245 000,серый,робот,передний,Бензин,Москва
Geely Emgrand II,Geely,Emgrand II,1 267,1.5,122,2023,1 790 000,1 790 000,синий,автомат,передний,Бензин,Москва
